YEAR,Start_Year,Home_Value,Source
2016,0,540334,Zillow
2017,1,586617,Zillow
2018,2,622887,Zillow
2019,3,629194,Zillow
2020,4,672942,Zillow
2021,5,800109,Zillow
2022,6,915513,Zillow
2023,7,952488,Zillow
2024,8,1007149,Zilllow 
2020,0,615000,Redfin
2021,1,680000,Redfin
2022,2,813000,Redfin
2023,3,787500,Redfin
2024,4,909500,Redfin
